"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","점포_수","유사_업종_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수","프랜차이즈_점포_수"
"20243","11","서울시","CS200005","스포츠 강습","8759","9049","2","214","3","253","290"
"20243","11","서울시","CS300037","중고차판매","945","945","0","4","2","23","0"
"20243","11","서울시","CS100002","중식음식점","5559","6406","4","225","5","340","847"
"20243","11","서울시","CS200006","일반의원","11189","11189","3","289","1","105","0"
"20243","11","서울시","CS200021","기타오락장","1094","1244","2","26","6","73","150"
"20243","11","서울시","CS200028","미용실","20146","21774","2","375","2","346","1628"
"20243","11","서울시","CS200031","세탁소","5011","6049","2","115","2","114","1038"
"20243","11","서울시","CS200035","게스트하우스","1544","1558","1","9","4","58","14"
"20243","11","서울시","CS200038","독서실","2913","3449","6","191","3","110","536"
"20243","11","서울시","CS300004","핸드폰","6832","6881","1","50","3","179","49"
"20243","11","서울시","CS300007","육류판매","7297","7330","1","99","3","198","33"
"20243","11","서울시","CS300017","시계및귀금속","5836","5949","1","52","1","83","113"
"20243","11","서울시","CS300019","의료기기","3976","3998","2","92","2","73","22"
"20243","11","서울시","CS300030","중고가구","176","176","0","0","2","4","0"
"20243","11","서울시","CS300042","주유소","977","977","1","5","2","21","0"
"20243","11","서울시","CS200002","외국어학원","2277","2337","0","1","2","56","60"
"20243","11","서울시","CS200017","골프연습장","1890","2027","3","52","3","52","137"
"20243","11","서울시","CS200029","네일숍","4972","5060","0","2","2","120","88"
"20243","11","서울시","CS200042","통번역서비스","2291","2291","0","0","2","49","0"
"20243","11","서울시","CS200045","비디오/서적임대","206","228","3","6","1","2","22"
"20243","11","서울시","CS300003","컴퓨터및주변장치판매","9398","9401","0","21","1","126","3"
"20243","11","서울시","CS300009","청과상","9234","9281","3","313","2","203","47"
"20243","11","서울시","CS300016","안경","2048","2736","2","41","1","39","688"
"20243","11","서울시","CS300023","미용재료","1435","1435","0","6","2","25","0"
"20243","11","서울시","CS300031","가구","3438","3441","1","26","2","56","3"
"20243","11","서울시","CS300033","철물점","2146","2146","1","25","1","25","0"
"20243","11","서울시","CS300034","악기","750","750","2","12","1","5","0"
"20243","11","서울시","CS300039","모터사이클및부품","745","745","0","0","2","15","0"
"20243","11","서울시","CS100004","양식음식점","7939","8956","3","270","4","387","1017"
"20243","11","서울시","CS100009","호프-간이주점","15498","17421","2","410","4","773","1923"
"20243","11","서울시","CS100010","커피-음료","21302","28437","4","1163","5","1365","7135"
"20243","11","서울시","CS200008","한의원","3822","3822","0","0","1","49","0"
"20243","11","서울시","CS200018","볼링장","143","143","1","2","2","3","0"
"20243","11","서울시","CS200020","전자게임장","253","265","0","1","7","19","12"
"20243","11","서울시","CS200030","피부관리실","8474","8748","5","449","2","197","274"
"20243","11","서울시","CS200043","건축물청소","6011","6120","2","100","2","149","109"
"20243","11","서울시","CS300008","수산물판매","5615","5662","0","1","3","168","47"
"20243","11","서울시","CS300012","한복점","306","306","0","0","0","1","0"
"20243","11","서울시","CS300015","가방","3015","3033","1","30","3","78","18"
"20243","11","서울시","CS300026","완구","949","950","4","33","3","25","1"
"20243","11","서울시","CS100003","일식음식점","6372","7510","5","402","4","314","1138"
"20243","11","서울시","CS200004","컴퓨터학원","445","453","0","0","4","16","8"
"20243","11","서울시","CS200011","변리사사무소","985","985","0","0","1","9","0"
"20243","11","서울시","CS200023","통신기기수리","536","536","0","0","2","10","0"
"20243","11","서울시","CS200025","자동차수리","4087","4566","1","56","1","55","479"
"20243","11","서울시","CS200037","노래방","5658","5793","2","139","3","196","135"
"20243","11","서울시","CS200039","DVD방","29","29","0","0","0","0","0"
"20243","11","서울시","CS200040","녹음실","1176","1178","0","0","2","24","2"
"20243","11","서울시","CS300001","슈퍼마켓","8227","11845","4","487","4","436","3618"
"20243","11","서울시","CS300013","유아의류","1658","1760","1","20","3","44","102"
"20243","11","서울시","CS300020","서적","4174","4254","2","73","2","74","80"
"20243","11","서울시","CS300022","화장품","13697","14541","0","36","3","358","844"
"20243","11","서울시","CS300035","인테리어","4240","4242","2","73","2","79","2"
"20243","11","서울시","CS300036","조명용품","11332","11340","0","18","1","147","8"
"20243","11","서울시","CS300040","재생용품 판매점","1281","1281","0","0","2","21","0"
"20243","11","서울시","CS100008","분식전문점","9335","12391","4","499","5","612","3056"
"20243","11","서울시","CS200003","예술학원","10281","10738","3","281","2","248","457"
"20243","11","서울시","CS200012","법무사사무소","2330","2330","0","0","1","30","0"
"20243","11","서울시","CS200015","세무사사무소","7785","7785","2","163","1","76","0"
"20243","11","서울시","CS200016","당구장","3848","3900","4","165","4","138","52"
"20243","11","서울시","CS200032","가전제품수리","2992","2995","0","12","2","48","3"
"20243","11","서울시","CS200033","부동산중개업","40854","40911","0","22","2","884","57"
"20243","11","서울시","CS200041","사진관","6794","6904","1","99","2","145","110"
"20243","11","서울시","CS200044","여행사","7053","7059","1","43","1","96","6"
"20243","11","서울시","CS300005","주류도매","931","931","0","0","1","12","0"
"20243","11","서울시","CS300011","일반의류","48766","48862","1","590","3","1219","96"
"20243","11","서울시","CS300027","섬유제품","2856","2860","1","24","2","60","4"
"20243","11","서울시","CS300038","자동차부품","3684","3688","0","0","2","62","4"
"20243","11","서울시","CS100001","한식음식점","51531","59035","4","2512","4","2308","7504"
"20243","11","서울시","CS200013","기타법무서비스","2457","2457","0","0","2","48","0"
"20243","11","서울시","CS200022","복권방","1191","1191","0","0","2","21","0"
"20243","11","서울시","CS200024","스포츠클럽","4560","4761","4","206","3","124","201"
"20243","11","서울시","CS200026","자동차미용","1671","1788","2","38","2","42","117"
"20243","11","서울시","CS200027","모터사이클수리","707","720","3","23","2","11","13"
"20243","11","서울시","CS200046","의류임대","615","617","0","0","2","12","2"
"20243","11","서울시","CS200047","가정용품임대","1132","1134","0","0","2","19","2"
"20243","11","서울시","CS300018","의약품","8266","8833","2","144","2","163","567"
"20243","11","서울시","CS300024","운동/경기용품","3835","3840","2","73","2","81","5"
"20243","11","서울시","CS300025","자전거 및 기타운송장비","832","832","1","8","1","11","0"
"20243","11","서울시","CS300041","예술품","2249","2249","2","45","2","34","0"
"20243","11","서울시","CS300043","전자상거래업","24322","24337","0","0","5","1269","15"
"20242","11","서울시","CS200005","스포츠 강습","8792","9088","2","207","3","290","296"
"20242","11","서울시","CS200009","동물병원","1022","1032","2","17","0","2","10"
"20242","11","서울시","CS200010","변호사사무소","4993","4993","0","0","1","61","0"
"20242","11","서울시","CS200034","여관","2908","2932","6","167","3","84","24"
"20242","11","서울시","CS200036","고시원","141","141","0","0","0","0","0"
"20242","11","서울시","CS300002","편의점","2631","9633","3","301","4","387","7002"
"20242","11","서울시","CS300010","반찬가게","9279","9614","4","332","2","213","335"
"20242","11","서울시","CS300021","문구","4171","4619","2","97","2","106","448"
"20242","11","서울시","CS100005","제과점","5374","7360","4","276","4","285","1986"
"20242","11","서울시","CS100006","패스트푸드점","3246","6797","3","231","4","301","3551"
"20242","11","서울시","CS100007","치킨전문점","2302","6311","2","145","5","322","4009"
"20242","11","서울시","CS200007","치과의원","5056","5056","0","0","1","61","0"
"20242","11","서울시","CS200014","회계사사무소","940","940","0","0","0","3","0"
"20242","11","서울시","CS200019","PC방","1289","1433","6","90","6","87","144"
"20242","11","서울시","CS300006","미곡판매","3048","3048","0","0","1","39","0"
"20242","11","서울시","CS300014","신발","4558","4645","1","37","2","97","87"
"20242","11","서울시","CS300028","화초","6061","6105","3","151","2","120","44"
"20242","11","서울시","CS300029","애완동물","2140","2337","7","153","3","72","197"
"20242","11","서울시","CS300032","가전제품","2538","2538","1","14","1","30","0"
"20242","11","서울시","CS300037","중고차판매","964","964","0","2","2","14","0"
"20242","11","서울시","CS100002","중식음식점","5651","6521","4","275","5","311","870"
"20242","11","서울시","CS200006","일반의원","11005","11005","3","311","1","86","0"
"20242","11","서울시","CS200021","기타오락장","1144","1291","2","30","8","108","147"
"20242","11","서울시","CS200028","미용실","20108","21745","2","427","2","418","1637"
"20242","11","서울시","CS200031","세탁소","4998","6048","2","120","2","110","1050"
"20242","11","서울시","CS200035","게스트하우스","1593","1607","0","0","2","38","14"
"20242","11","서울시","CS200038","독서실","2817","3368","6","184","4","125","551"
"20242","11","서울시","CS300004","핸드폰","6960","7010","1","64","3","195","50"
"20242","11","서울시","CS300007","육류판매","7396","7429","1","95","3","199","33"
"20242","11","서울시","CS300017","시계및귀금속","5867","5980","1","40","1","69","113"
"20242","11","서울시","CS300019","의료기기","3957","3979","2","88","2","62","22"
"20242","11","서울시","CS300030","중고가구","180","180","0","0","2","4","0"
"20242","11","서울시","CS300042","주유소","993","993","2","18","2","20","0"
"20242","11","서울시","CS200002","외국어학원","2327","2392","0","0","2","57","65"
"20242","11","서울시","CS200029","네일숍","5088","5178","0","0","3","130","90"
"20242","11","서울시","CS200042","통번역서비스","2340","2340","0","6","2","39","0"
"20242","11","서울시","CS200045","비디오/서적임대","202","224","3","7","2","5","22"
"20242","11","서울시","CS300003","컴퓨터및주변장치판매","9503","9506","0","24","1","119","3"
"20242","11","서울시","CS300009","청과상","9125","9171","3","255","2","207","46"
"20242","11","서울시","CS300016","안경","2044","2734","2","55","2","46","690"
"20242","11","서울시","CS300023","미용재료","1454","1454","0","5","2","23","0"
"20242","11","서울시","CS300031","가구","3468","3471","1","28","1","49","3"
"20242","11","서울시","CS300033","철물점","2145","2146","1","28","1","22","1"
"20242","11","서울시","CS300034","악기","743","743","1","5","1","9","0"
"20242","11","서울시","CS300039","모터사이클및부품","760","760","0","0","2","13","0"
"20242","11","서울시","CS100004","양식음식점","8041","9073","4","356","5","428","1032"
"20242","11","서울시","CS100009","호프-간이주점","15811","17784","3","471","5","866","1973"
"20242","11","서울시","CS100010","커피-음료","21520","28639","4","1222","4","1258","7119"
"20242","11","서울시","CS200008","한의원","3871","3871","0","0","2","61","0"
"20242","11","서울시","CS200018","볼링장","144","144","1","2","1","2","0"
"20242","11","서울시","CS200020","전자게임장","271","283","1","2","6","17","12"
"20242","11","서울시","CS200030","피부관리실","8224","8496","8","637","3","213","272"
"20242","11","서울시","CS200043","건축물청소","6059","6169","2","133","3","153","110"
"20242","11","서울시","CS300008","수산물판매","5783","5829","0","1","2","126","46"
"20242","11","서울시","CS300012","한복점","307","307","0","0","3","9","0"
"20242","11","서울시","CS300015","가방","3063","3081","1","43","2","53","18"
"20242","11","서울시","CS300026","완구","941","942","3","24","3","28","1"
"20242","11","서울시","CS100003","일식음식점","6265","7422","6","430","5","358","1157"
"20242","11","서울시","CS200001","일반교습학원","23768","25993","4","1144","2","567","2225"
"20242","11","서울시","CS200004","컴퓨터학원","461","469","0","0","5","22","8"
"20242","11","서울시","CS200011","변리사사무소","994","994","0","0","1","11","0"
"20242","11","서울시","CS200023","통신기기수리","546","546","0","0","2","8","0"
"20242","11","서울시","CS200025","자동차수리","4089","4565","1","50","1","45","476"
"20242","11","서울시","CS200037","노래방","5714","5850","2","123","4","209","136"
"20242","11","서울시","CS200039","DVD방","29","29","0","0","10","3","0"
"20242","11","서울시","CS200040","녹음실","1200","1202","0","0","1","15","2"
"20242","11","서울시","CS300001","슈퍼마켓","8214","11794","5","586","3","379","3580"
